bpm,algo,file,output_wav
126.54141235351562,MelodiaExtractor,/Users/fernando/dev/upf/mir/motif-detection/John Williams & London Symphony Orchestra - Star Wars - The Ultimate Digital Collection (2016 - Soundtracks) [Flac 24-44_192]/46. John Williams & London Symphony Orchestra - Episode IV - Main Title.flac,/Users/fernando/dev/upf/mir/motif-detection/output_folder/46. John Williams & London Symphony Orchestra - Episode IV - Main Title_processed.wav
151.3101806640625,MelodiaExtractor,/Users/fernando/dev/upf/mir/motif-detection/John Williams & London Symphony Orchestra - Star Wars - The Ultimate Digital Collection (2016 - Soundtracks) [Flac 24-44_192]/47. John Williams & London Symphony Orchestra - Episode IV - Imperial Attack.flac,/Users/fernando/dev/upf/mir/motif-detection/output_folder/47. John Williams & London Symphony Orchestra - Episode IV - Imperial Attack_processed.wav
